id,x,y
51,490,97
51,480,109
51,480,115
51,486,122
51,492,124
51,499,120
51,504,117
51,507,112
51,509,105
51,510,96
51,511,88
51,509,80
51,509,72
51,510,68
52,394,102
52,401,115
52,408,127
52,415,137
52,421,147
52,428,152
52,433,146
52,436,139
52,438,134
52,439,128
52,443,121
52,443,111
52,442,102
52,438,96
52,429,95
52,421,97
52,411,96
52,404,96
52,398,93
53,447,122
53,443,129
53,439,141
53,440,149
53,438,161
53,433,171
53,430,179
53,431,184
53,441,183
53,450,178
53,458,176
53,469,171
53,478,171
53,488,169
53,496,165
53,499,157
53,494,147
53,488,141
53,474,137
53,466,133
53,457,129
54,460,197
54,460,208
54,458,220
54,466,230
54,477,242
54,488,248
54,498,249
54,508,251
54,511,224
54,502,216
54,490,203
54,485,199
54,477,195
54,471,192
55,377,111
55,387,115
55,391,118
55,399,129
55,400,139
55,398,148
55,391,151
55,382,147
55,373,142
55,369,129
55,368,125
55,367,115
56,356,137
56,360,151
56,363,163
56,365,173
56,366,180
56,359,181
56,348,187
56,343,189
56,338,186
56,332,178
56,326,174
56,318,169
56,318,160
56,323,154
56,325,148
56,328,142
56,334,139
56,343,137
56,346,136
57,396,167
57,397,176
57,399,181
57,410,183
57,418,180
57,422,176
57,428,173
57,431,164
57,427,157
57,416,159
57,408,160
57,404,164
58,304,198
58,304,223
58,303,232
58,296,240
58,293,249
58,292,260
58,289,270
58,286,277
58,281,285
58,278,288
58,272,292
58,269,283
58,267,271
58,269,262
58,271,250
58,271,239
58,276,228
58,280,217
58,284,209
58,286,201
58,291,197
58,298,194
59,331,212
59,337,222
59,340,230
59,344,239
59,345,244
59,351,244
59,356,241
59,364,237
59,365,225
59,372,212
59,373,205
59,360,206
59,350,205
59,344,207
59,342,208
60,389,224
60,396,221
60,406,218
60,418,214
60,426,210
60,431,204
60,433,196
60,428,191
60,416,195
60,407,202
60,397,207
60,393,214
60,388,218
60,382,218
61,391,245
61,399,253
61,406,258
61,416,256
61,433,256
61,438,254
61,433,245
61,431,232
61,422,225
61,412,226
61,404,225
61,399,222
61,395,226
61,393,232
61,392,236
61,392,237
62,309,276
62,321,269
62,330,259
62,330,246
62,326,237
62,319,235
62,310,238
62,306,240
62,299,247
62,296,258
62,295,265
62,299,271
63,335,293
63,342,303
63,350,304
63,359,308
63,364,311
63,367,309
63,370,303
63,372,298
63,377,293
63,379,293
63,374,281
63,372,271
63,365,265
63,360,261
63,352,261
63,344,269
63,337,276
63,334,279
63,333,286
64,433,281
64,444,289
64,453,293
64,466,294
64,478,291
64,489,285
64,496,277
64,499,268
64,492,262
64,483,259
64,472,258
64,459,259
64,449,262
64,441,262
64,434,264
64,431,269
64,428,274
65,453,338
65,463,328
65,474,319
65,480,317
65,484,316
65,493,311
65,496,314
65,507,320
65,509,324
65,509,333
65,499,340
65,489,342
65,475,343
65,470,347
65,460,352
65,452,357
65,449,355
65,451,350
65,452,348
66,418,295
66,428,302
66,439,313
66,444,325
66,440,334
66,433,335
66,428,343
66,421,347
66,412,349
66,403,345
66,397,340
66,391,332
66,389,320
66,393,307
66,395,301
66,404,298
66,407,298
67,351,314
67,358,320
67,363,328
67,360,338
67,353,343
67,342,345
67,333,344
67,329,342
67,330,338
67,330,331
67,328,325
67,322,322
67,316,318
67,320,315
67,330,316
67,338,315
68,327,366
68,333,377
68,340,382
68,342,389
68,340,400
68,336,408
68,333,411
68,316,408
68,307,401
68,301,396
68,300,387
68,304,374
68,306,370
68,315,362
69,384,391
69,393,385
69,399,378
69,401,374
69,404,372
69,401,368
69,394,362
69,384,357
69,377,356
69,372,360
69,369,367
69,370,377
69,370,385
69,374,392
70,428,394
70,436,401
70,438,406
70,448,411
70,458,408
70,466,399
70,473,394
70,478,394
70,482,389
70,480,375
70,473,369
70,464,364
70,453,366
70,446,372
70,443,377
70,436,380
70,428,384
70,425,387
71,411,406
71,412,412
71,411,421
71,404,426
71,394,428
71,387,430
71,382,426
71,375,421
71,374,415
71,384,404
71,394,401
71,404,401
72,356,450
72,360,458
72,359,472
72,357,478
72,353,484
72,346,486
72,337,487
72,326,487
72,317,484
72,315,480
72,312,472
72,313,465
72,320,456
72,330,450
72,336,447
72,345,446
73,406,454
73,404,464
73,414,476
73,423,480
73,433,483
73,440,481
73,444,470
73,440,459
73,433,448
73,426,438
73,419,440
73,416,445
73,412,445
74,466,428
74,472,437
74,478,441
74,485,436
74,491,433
74,497,428
74,496,417
74,492,406
74,499,394
74,499,391
74,489,398
74,481,409
74,476,414
74,470,419
75,392,511
75,388,502
75,387,495
75,392,487
75,399,487
75,406,494
75,411,500
75,417,507
75,416,510
76,387,511
76,379,507
76,376,504
76,367,502
76,359,502
76,343,505
76,338,508
76,334,509
76,330,511
77,512,441
77,504,444
77,499,447
77,497,451
77,500,458
77,504,464
77,509,470
77,511,469
78,470,511
78,478,504
78,482,502
78,488,501
78,498,500
78,504,501
78,511,501
78,511,511
