Time(s),Mean_of_cell0,Mean_of_cell1,Mean_of_cell2,Mean_of_cell3,Mean_of_cell4,Mean_of_cell5,Mean_of_cell6,Mean_of_cell7,Mean_of_cell8,Mean_of_cell9,Mean_of_cell10,Mean_of_cell11,Mean_of_cell12,Mean_of_cell13,Mean_of_cell14,Mean_of_cell15,Mean_of_cell16,Mean_of_cell17,Mean_of_cell18,Mean_of_cell19,Mean_of_cell20,Mean_of_cell21,Mean_of_cell22,Mean_of_cell23,Mean_of_cell24,Mean_of_cell25,Mean_of_cell26,Mean_of_cell27,Mean_of_cell28,Mean_of_cell29,Mean_of_cell30,Mean_of_cell31,Mean_of_cell32,Mean_of_cell33,Mean_of_cell34,Mean_of_cell35,Mean_of_cell36,Mean_of_cell37,Mean_of_cell38,Mean_of_cell39,Mean_of_cell40,Mean_of_cell41,Mean_of_cell42,Mean_of_cell43,Mean_of_cell44,Mean_of_cell45,Mean_of_cell46,Mean_of_cell47,Mean_of_cell48,Mean_of_cell49,Mean_of_cell50,Mean_of_cell51,Mean_of_cell52,Mean_of_cell53,Mean_of_cell54,Mean_of_cell55,Mean_of_cell56,Mean_of_cell57,Mean_of_cell58,Mean_of_cell59,Mean_of_cell60,Mean_of_cell61,Mean_of_cell62,Mean_of_cell63,Mean_of_cell64,Mean_of_cell65,Mean_of_cell66,Mean_of_cell67,Mean_of_cell68,Mean_of_cell69,Mean_of_cell70,Mean_of_cell71,Mean_of_cell72,Mean_of_cell73,Mean_of_cell74,Mean_of_cell75,Mean_of_cell76,Mean_of_cell77,Mean_of_cell78
78,1.079,1.7533,3.4157,2.0023,1.1954,2.1961,1.3319,1.4825,1.3643,2.3545,1.5644,1.6697,1.389,2.2614,2.3664,1.0743,1.5388,0.9178,1.3362,1.2517,0.9746,1.6334,0.7085,1.1149,1.1212,0.7467,1.3335,1.1426,0.931,1.25,1.3395,1.4182,0.7167,0.9812,0.8512,0.9579,1.3028,0.7769,1.4032,1.5217,0.8803,0.5206,0.7233,0.4734,0.8088,0.8672,1.1698,1.4157,0.2325,1.4602,0.8923,0.6904,0.6515,0.6243,0.7337,1.2182,1.2091,0.898,1.4512,1.7631,0.7773,0.8505,1.4103,0.8498,0.2848,1.2313,1.0707,1.0636,0.6399,0.7648,1.2459,1.8928,0.737,0.7623,0.857,1.0947,2.2472,2.1025,1.8207
80,1.0846,1.6432,3.2925,1.9323,1.2503,1.9157,1.3435,1.5179,1.4068,2.2502,1.5584,1.5811,1.4366,2.4266,2.3213,1.0966,1.4183,0.859,1.3427,1.269,0.9532,1.6763,0.6648,1.1237,1.0655,0.7128,1.3559,1.206,0.9171,1.2802,1.3718,1.4017,0.7397,1.0269,0.8307,1.0066,1.3232,0.7674,1.3283,1.6995,0.8469,0.5999,0.7829,0.5174,0.8276,0.799,1.1613,1.3864,0.2328,1.4453,0.9278,0.4615,0.5726,0.6419,0.8727,1.161,1.2886,0.8824,1.4935,1.7136,0.8076,0.8499,1.3947,0.8797,0.2795,1.2591,1.0729,1.1035,0.6473,0.7995,1.1479,1.7934,0.7534,0.7821,0.9147,1.1021,2.1767,1.8942,1.6458
82,1.0835,1.7204,3.0715,1.9244,1.2426,2.0144,1.3029,1.4886,1.3739,2.2725,1.5883,1.5617,1.5154,2.5157,2.3916,1.1081,1.374,0.7811,1.3478,1.2661,0.9372,1.6928,0.6831,1.1018,1.0942,0.7201,1.3319,1.1963,0.8645,1.3556,1.4419,1.4425,0.724,0.8631,0.8591,1.0214,1.3171,0.7832,1.3067,1.629,0.8802,0.592,0.7544,0.5359,0.8566,0.8319,1.2678,1.3447,0.2332,1.5173,0.9229,0.3336,0.4938,0.637,0.9078,1.1306,1.3397,0.8498,1.5008,1.6635,0.8084,0.9053,1.3975,0.8778,0.2816,1.2222,1.0771,1.1064,0.6325,0.8002,1.1883,1.8407,0.722,0.7926,0.9187,1.0768,2.0796,1.8136,1.7605
84,1.0885,1.6818,2.9742,1.8973,1.3232,2.0399,1.3529,1.5442,1.4228,2.3523,1.6226,1.4949,1.5853,2.5862,2.4128,1.1249,1.3645,0.7701,1.3641,1.295,0.922,1.7518,0.675,1.088,1.1639,0.7032,1.3011,1.2579,0.8209,1.3047,1.4365,1.3773,0.6889,0.8311,0.9044,1.0468,1.258,0.7735,1.3105,1.7311,0.9253,0.5335,0.7502,0.5159,0.8723,0.8261,1.3046,1.3687,0.2268,1.4771,0.8691,0.279,0.4698,0.652,0.8437,1.1446,1.4212,0.8381,1.5269,1.6975,0.8499,0.9101,1.3923,0.9438,0.2767,1.2358,1.0755,1.1086,0.6435,0.8102,1.1211,1.7169,0.7596,0.7799,0.8578,1.1067,2.0132,1.4591,1.7731
86,1.0966,1.8275,2.8738,1.911,1.3296,2.0189,1.3795,1.5801,1.5236,2.5501,1.6406,1.3045,1.5418,2.748,2.711,1.134,1.3281,0.7791,1.3714,1.3291,0.9143,1.7666,0.7103,1.0959,1.123,0.7395,1.3894,1.3328,0.7796,1.2766,1.5252,1.3861,0.6517,0.8289,0.8979,1.1402,1.3054,0.7901,1.3143,1.7571,0.9672,0.5165,0.7859,0.6418,0.8807,0.8163,1.2502,1.2993,0.227,1.4623,0.9175,0.2436,0.4321,0.6403,0.721,1.0512,1.4876,0.795,1.5424,1.7173,0.8293,0.9576,1.3533,0.9497,0.2826,1.2388,1.0926,1.1324,0.6406,0.8117,1.138,1.7503,0.7771,0.7383,0.7646,1.0515,1.6916,1.6619,1.8792
88,1.0972,1.6,3.4849,1.8161,1.3297,2.0081,1.3409,1.6113,1.5523,2.3123,1.6622,1.1911,1.6275,2.4535,2.5548,1.1069,1.2436,0.8219,1.3907,1.2889,0.9041,1.8232,0.6862,1.0948,1.1049,0.7057,1.4366,1.3666,0.8166,1.1723,1.4846,1.4322,0.6596,0.8223,0.9386,1.124,1.2669,0.8529,1.3434,1.6578,0.9835,0.5433,0.8092,0.8282,0.877,0.8061,1.2921,1.2324,0.2308,1.4715,0.8515,0.2151,0.4051,0.6485,0.6426,1.0787,1.4952,0.7944,1.5691,1.724,0.8372,0.9844,1.3244,1.0006,0.2976,1.2462,1.0836,1.1647,0.6345,0.8061,1.1117,1.6426,0.7928,0.7104,0.6652,1.0449,1.6107,1.5373,1.969
90,1.1024,1.6353,3.4988,1.7422,1.368,1.9393,1.4637,1.5531,1.4377,2.3863,1.5637,1.1691,1.7653,2.564,2.4877,1.1334,1.1952,0.9045,1.4287,1.3543,0.9274,1.768,0.7009,1.1635,1.1329,0.7144,1.4634,1.473,0.7944,1.2165,1.571,1.3636,0.6552,0.8716,0.8575,1.0963,1.3012,0.9148,1.3269,1.7635,0.9417,0.5708,0.9132,1.0921,0.9242,0.7078,1.3408,1.2034,0.2381,1.4371,0.8516,0.1904,0.3926,0.6719,0.5638,1.0485,1.4927,0.8072,1.6037,1.6785,0.8355,0.9583,1.359,1.0297,0.3191,1.2573,1.0933,1.1543,0.6667,0.7828,1.0727,1.6108,0.8082,0.7063,0.6137,0.997,1.5929,1.3837,1.9708
92,1.1078,1.6503,3.6387,1.72,1.3793,1.9575,1.5071,1.6091,1.4525,2.3289,1.4971,1.1047,1.8768,2.6099,2.397,1.1013,1.1982,0.9818,1.4644,1.3542,0.9749,1.8426,0.6906,1.2395,1.1324,0.7267,1.44,1.4235,0.787,1.0744,1.5148,1.3534,0.6634,0.8428,0.8502,1.0537,1.3382,0.9506,1.285,1.7834,0.9678,0.5719,0.8572,1.1879,0.89,0.7173,1.2961,1.1764,0.2296,1.4422,0.8182,0.1863,0.3838,0.6779,0.5296,1.0381,1.438,0.8055,1.6526,1.7044,0.8514,1.0155,1.3519,1.0608,0.349,1.2782,1.0986,1.2216,0.669,0.7804,1.074,1.5221,0.8355,0.7194,0.6032,0.9425,1.4771,1.2838,1.8298
94,1.1145,1.6767,3.7406,1.6573,1.4512,1.9492,1.6313,1.5772,1.4603,2.2858,1.5362,1.0275,1.9513,2.3089,2.4116,1.0898,1.1521,1.0515,1.4802,1.3317,1.0003,1.817,0.6965,1.2329,1.1554,0.7297,1.5193,1.5273,0.8237,1,1.5308,1.4222,0.6761,0.822,0.8378,1.0494,1.3382,0.9852,1.286,1.7206,1.0221,0.5757,0.8558,1.077,0.966,0.8235,1.2939,1.1515,0.2397,1.465,0.8525,0.1873,0.3741,0.6791,0.5178,1.0356,1.4044,0.8548,1.6252,1.7088,0.8727,1.0506,1.3128,1.0733,0.3658,1.2678,1.0924,1.2253,0.6692,0.7797,1.0308,1.457,0.8352,0.74,0.7003,0.9267,1.5825,1.5159,1.9345
96,1.1129,1.7281,3.412,1.6569,1.4412,1.835,1.6221,1.5091,1.4711,2.242,1.4914,1.0639,1.9092,2.2751,2.5044,1.1276,1.1684,1.21,1.5109,1.2747,1.0053,1.6969,0.7224,1.3321,1.1268,0.7186,1.5844,1.5755,0.7812,0.9453,1.5359,1.4593,0.6588,0.7711,0.7985,1.0018,1.3483,1.0469,1.3082,1.7712,0.9559,0.5427,0.86,0.9434,0.9706,0.7905,1.254,1.1296,0.2498,1.4666,0.8488,0.182,0.3739,0.6897,0.508,1.0355,1.3977,0.8829,1.6485,1.6839,0.8811,1.0629,1.3051,1.1111,0.4056,1.2773,1.0819,1.1812,0.6783,0.7596,1.0077,1.418,0.8412,0.7288,0.7287,0.8846,1.668,1.3461,1.9754
98,1.1079,1.6357,3.5063,1.6867,1.4221,1.7972,1.6589,1.4433,1.4754,2.1296,1.4587,1.0761,1.8304,2.4018,2.4375,1.134,1.1411,1.315,1.4832,1.2778,0.9828,1.7165,0.7407,1.3634,1.0973,0.7322,1.5776,1.6541,0.7869,0.8657,1.4574,1.4157,0.7096,0.72,0.7646,0.9824,1.3605,1.0485,1.2888,1.7131,1.0133,0.5689,0.8506,0.8278,1.0373,0.706,1.2611,1.1408,0.2493,1.42,0.8391,0.1739,0.3831,0.7078,0.4915,1.0119,1.2994,0.8947,1.6491,1.6632,0.829,1.07,1.2753,1.1493,0.4807,1.2455,1.0446,1.1922,0.6829,0.7418,0.9942,1.501,0.8743,0.7245,0.7696,0.8801,1.7939,1.6308,1.8282
100,1.1114,1.639,3.3298,1.6722,1.3609,1.7771,1.6957,1.3908,1.5292,2.1845,1.4782,1.0264,1.7768,2.321,2.5806,1.0741,1.1534,1.3788,1.5252,1.2477,1.0563,1.6737,0.769,1.3845,1.1187,0.7692,1.5999,1.6309,0.8233,0.8189,1.4763,1.4142,0.7122,0.7211,0.7246,0.8906,1.4165,1.0345,1.2765,1.6816,0.9797,0.5579,0.8588,0.6613,1.0683,0.7115,1.2603,1.0846,0.2667,1.4514,0.8371,0.1713,0.4004,0.7278,0.5216,0.9874,1.1968,0.9417,1.648,1.729,0.8431,1.0542,1.2672,1.1173,0.628,1.2884,1.0628,1.2823,0.6992,0.7494,0.9866,1.431,0.849,0.7483,0.9384,0.7818,1.9467,1.3918,1.8304
102,1.1119,1.6448,3.2547,1.6103,1.3933,1.907,1.7689,1.3418,1.4399,2.0541,1.4358,1.0558,1.7627,2.0663,2.5424,1.1648,1.2323,1.4729,1.3987,1.2364,1.0585,1.5868,0.76,1.3963,1.0845,0.7685,1.5966,1.5628,0.8493,0.7672,1.4165,1.4425,0.7258,0.6759,0.756,0.8231,1.4583,1.0198,1.2822,1.6535,1.0108,0.5077,0.8768,0.589,1.1127,0.7186,1.2329,1.1441,0.2717,1.3782,0.8367,0.1642,0.4255,0.7363,0.5633,0.9814,1.1688,0.9425,1.6418,1.649,0.8578,1.0375,1.2568,1.1312,0.8424,1.2928,1.0452,1.2415,0.704,0.7224,1.0185,1.4182,0.8555,0.722,1.0415,0.8255,1.8773,1.8884,1.8287
104,1.1065,1.6117,3.1634,1.6723,1.2981,1.8315,1.7216,1.3411,1.4834,2.0735,1.476,1.0522,1.6553,2.1587,2.5431,1.1578,1.2258,1.3391,1.4204,1.2274,1.1311,1.5142,0.7486,1.4095,1.1172,0.7822,1.5859,1.418,0.8663,0.705,1.3866,1.3842,0.7754,0.6696,0.7382,0.8212,1.4729,0.9691,1.3389,1.6885,1.0446,0.4994,0.8379,0.5229,1.0744,0.7555,1.1847,1.2048,0.3018,1.4355,0.821,0.1732,0.4663,0.7514,0.64,0.9544,1.1153,0.9693,1.6608,1.737,0.8926,1.0473,1.2628,1.1482,0.9878,1.2531,1.0445,1.2503,0.7077,0.7084,1.0186,1.4214,0.8206,0.7071,0.9217,0.8444,1.9894,1.8384,1.9493
106,1.1005,1.659,2.9202,1.5929,1.2738,1.7307,1.6718,1.2579,1.5467,2.2288,1.5056,1.0708,1.7131,2.2325,2.7098,1.1932,1.2753,1.1995,1.2911,1.2052,1.0906,1.5074,0.7751,1.4168,1.1114,0.8112,1.4863,1.3493,0.9035,0.6635,1.3656,1.3654,0.8079,0.6743,0.7174,0.7938,1.5279,0.9028,1.313,1.6525,1.0427,0.4455,0.8416,0.4884,1.0477,0.7872,1.1912,1.2018,0.3773,1.4395,0.8217,0.1666,0.5524,0.7918,0.6795,0.9334,1.0824,0.9888,1.6751,1.7077,0.8597,1.0146,1.2646,1.1566,1.0141,1.3086,1.0565,1.2701,0.7456,0.7081,1.0284,1.3767,0.7946,0.7105,0.8422,0.8007,1.9517,1.5296,1.7378
108,1.099,1.6724,2.9021,1.5722,1.2703,1.6935,1.6611,1.223,1.5533,2.1893,1.5393,1.0327,1.6224,2.1334,2.6527,1.2234,1.2185,1.0604,1.2656,1.2286,1.1046,1.5185,0.8159,1.3954,1.0763,0.8419,1.5496,1.3419,0.9222,0.6649,1.29,1.3904,0.9297,0.6507,0.7373,0.7914,1.5216,0.8653,1.2915,1.602,1.0386,0.4271,0.8303,0.4757,1.084,0.7517,1.106,1.1775,0.5637,1.5174,0.8147,0.1814,0.6816,0.7694,0.818,0.8809,1.0683,0.9975,1.67,1.7409,0.8839,1.0253,1.2763,1.1464,0.9887,1.3019,1.0322,1.241,0.7076,0.7036,1.0652,1.4044,0.7815,0.72,0.7617,0.809,1.9767,1.6778,1.6866
110,1.097,1.6388,2.804,1.6209,1.2071,1.7742,1.6019,1.2102,1.4858,2.2519,1.5581,1.0208,1.5849,1.9507,2.7391,1.1562,1.267,0.9097,1.2279,1.2132,1.188,1.5569,0.786,1.4157,1.0062,0.8477,1.5804,1.2526,0.9416,0.6591,1.3153,1.2905,0.8961,0.6866,0.7722,0.776,1.5618,0.8466,1.3075,1.5182,1.0351,0.425,0.8216,0.44,1.0699,0.717,1.1454,1.1764,0.9726,1.617,0.8231,0.166,0.7268,0.8146,0.9532,0.9166,1.0355,1.0058,1.6802,1.7522,0.8702,1.0255,1.267,1.1099,0.858,1.333,1.0433,1.2058,0.7031,0.6915,1.0641,1.3915,0.7794,0.7276,0.6543,0.8025,1.9787,1.971,1.5608
112,1.0849,1.696,2.7906,1.6748,1.1988,1.7267,1.5036,1.2495,1.4357,2.2417,1.5185,1.0778,1.5357,1.8893,2.6131,1.1234,1.3148,0.8475,1.2143,1.1981,1.2625,1.5551,0.7913,1.3967,1.0613,0.874,1.6027,1.2802,0.9256,0.6413,1.2265,1.2912,0.8794,0.6483,0.7748,0.7678,1.502,0.812,1.3046,1.5239,0.977,0.396,0.7898,0.4246,1.1014,0.7097,1.0948,1.2084,1.2057,1.585,0.8448,0.1662,0.7262,0.8263,0.8993,0.892,1.0223,1.0058,1.699,1.7475,0.8277,1.0038,1.2508,1.0849,0.7132,1.2465,1.0447,1.2043,0.7056,0.6744,1.0516,1.3917,0.7432,0.7515,0.5842,0.7554,1.9883,1.9564,1.6759
114,1.0781,1.6026,3.14,1.7739,1.1563,1.694,1.4851,1.2438,1.4032,2.2707,1.4969,1.1158,1.5284,1.9178,2.5415,1.1362,1.4552,0.7949,1.1684,1.1411,1.2449,1.5429,0.7853,1.3728,0.9697,0.8781,1.5532,1.1959,0.8763,0.6301,1.1718,1.2486,0.9073,0.6984,0.8045,0.7468,1.5381,0.7932,1.3283,1.4654,1.0264,0.3648,0.7988,0.4317,1.0745,0.6878,1.0565,1.2084,1.3322,1.5519,0.8236,0.1731,0.7784,0.8463,0.8423,0.9439,0.9828,0.9871,1.7154,1.736,0.8134,1.0021,1.2605,1.0866,0.5884,1.312,1.0339,1.2304,0.7207,0.715,1.0403,1.3786,0.7223,0.7395,0.5954,0.7891,1.9541,1.939,1.6343
116,1.0665,1.6081,2.9891,1.7861,1.1898,1.6474,1.4216,1.26,1.3625,2.2068,1.52,1.0543,1.4032,2.0629,2.5003,1.1328,1.5712,0.7538,1.1579,1.1326,1.3321,1.5255,0.789,1.3328,0.9163,0.948,1.5253,1.2099,0.8696,0.6208,1.1158,1.2483,0.9302,0.7017,0.8315,0.7816,1.6228,0.7594,1.286,1.4918,0.885,0.3821,0.7387,0.4343,1.0446,0.6744,1.0535,1.2062,1.0932,1.5816,0.8438,0.1723,0.6716,0.8526,0.7131,0.9117,0.9902,0.9641,1.6952,1.7232,0.807,1.0294,1.2388,1.0362,0.4861,1.2234,1.0563,1.1477,0.6909,0.7054,1.0513,1.4077,0.7149,0.7337,0.5844,0.7536,2.0982,2.013,1.6875
118,1.0571,1.5771,3.3922,1.819,1.2257,1.5676,1.3838,1.2556,1.3442,2.0712,1.4791,1.1616,1.4142,2.1486,2.2748,1.117,1.6892,0.6953,1.1505,1.1324,1.4797,1.4828,0.7914,1.3419,0.9214,0.9577,1.4237,1.1259,0.8451,0.622,1.0429,1.2156,0.9641,0.7311,0.8676,0.775,1.552,0.7224,1.2851,1.4247,0.9183,0.4253,0.7635,0.4265,1.0637,0.7032,1.0544,1.2145,0.7376,1.5632,0.83,0.174,0.6254,0.8788,0.6056,0.9506,0.9697,1.0012,1.671,1.6513,0.7534,0.9616,1.2421,1.0126,0.4191,1.2327,1.0881,1.1578,0.6848,0.7223,1.0617,1.4398,0.7288,0.7229,0.6147,0.8055,2.2322,1.5812,1.7079
120,1.0549,1.6237,3.5546,1.8499,1.2513,1.5938,1.3752,1.2287,1.3587,2.175,1.483,1.1361,1.4063,1.9656,2.2622,1.1266,1.7528,0.6723,1.1628,1.0937,1.4776,1.5285,0.8178,1.2736,0.9071,0.9639,1.4083,1.148,0.7829,0.6552,1.0101,1.2114,0.904,0.7558,0.9077,0.734,1.5786,0.7255,1.2563,1.3776,0.9014,0.4725,0.7308,0.4167,1.0537,0.7343,0.9676,1.3578,0.5539,1.5109,0.8375,0.1764,0.5695,0.9044,0.5488,0.9537,0.9969,0.978,1.6514,1.665,0.7417,0.9611,1.2016,0.9949,0.3701,1.2312,1.0824,1.1522,0.67,0.7186,1.0761,1.4681,0.709,0.7455,0.7222,0.8185,2.2733,1.4856,1.5383
122,1.0559,1.6098,3.4866,1.9027,1.2528,1.6555,1.4024,1.2634,1.355,2.2459,1.483,1.071,1.3614,2.1397,2.1971,1.0827,1.8682,0.6959,1.2136,1.1112,1.5067,1.5773,0.819,1.2702,0.8872,0.9923,1.3148,1.1831,0.8233,0.6296,0.9424,1.2051,0.9095,0.7631,0.9213,0.7742,1.5649,0.7345,1.2805,1.3726,0.8584,0.4763,0.7391,0.4303,1.0385,0.6972,0.9547,1.294,0.4028,1.5647,0.8313,0.1931,0.5063,0.9119,0.5619,0.9995,0.9628,0.9785,1.6501,1.7088,0.7141,0.937,1.1716,0.9796,0.347,1.2183,1.1079,1.1973,0.6698,0.7171,1.0844,1.4642,0.7192,0.7384,0.7421,0.8495,2.071,1.3668,1.7227
124,1.0628,1.7238,3.6244,1.9276,1.3127,1.642,1.3699,1.2549,1.3213,2.1877,1.4846,1.1571,1.3617,2.0891,2.2552,1.0984,1.8628,0.6755,1.1834,1.1456,1.5793,1.593,0.8648,1.2423,0.9018,1.0576,1.3563,1.2466,0.774,0.6352,0.9517,1.1605,0.8865,0.8252,0.9755,0.8235,1.5807,0.7787,1.283,1.4065,0.8655,0.5644,0.7076,0.4243,1.038,0.8401,0.985,1.3141,0.3328,1.4497,0.8396,0.1896,0.4867,0.9445,0.499,0.974,1.0229,0.9557,1.627,1.7036,0.7466,0.9464,1.2129,0.9425,0.3167,1.2131,1.1382,1.1481,0.6668,0.7166,1.0636,1.4297,0.7024,0.7246,0.7216,0.8832,1.7788,1.5772,1.7234
126,1.0616,1.6,3.77,1.977,1.3547,1.6981,1.3181,1.3063,1.2702,2.0669,1.526,1.0324,1.3652,2.0777,2.18,1.0836,1.7765,0.7297,1.1846,1.1387,1.6136,1.6246,0.8762,1.2361,0.8512,1.0838,1.3085,1.3539,0.7697,0.6474,0.9656,1.2032,0.8124,0.8574,0.9996,0.7837,1.5909,0.813,1.3011,1.3432,0.8385,0.6874,0.7071,0.4369,1.0208,1.0078,0.9569,1.308,0.2705,1.4942,0.8648,0.2323,0.4577,0.9538,0.4582,0.9692,1.0559,0.9246,1.6276,1.7527,0.6981,0.9077,1.2283,0.9131,0.3016,1.2315,1.1109,1.1832,0.6795,0.7471,1.0522,1.4812,0.6858,0.7015,0.6956,0.8365,1.6725,1.3674,1.6827
128,1.0664,1.676,3.6602,1.9276,1.4132,1.7544,1.3585,1.3031,1.3513,2.0923,1.4978,1.1169,1.3296,2.0739,2.1138,1.102,1.692,0.7461,1.2136,1.1828,1.5808,1.6523,0.9049,1.2253,0.8778,1.1192,1.3179,1.4462,0.793,0.6419,0.9467,1.1311,0.7578,0.9262,0.9805,0.8343,1.5528,0.8619,1.3042,1.3193,0.8341,0.6762,0.7012,0.4258,0.9866,0.9892,0.9758,1.3335,0.2567,1.544,0.8497,0.2992,0.4306,0.9331,0.4332,0.9484,1.0851,0.9071,1.5803,1.7518,0.6955,0.9272,1.2119,0.9133,0.2886,1.2324,1.1316,1.2016,0.6627,0.751,1.0541,1.4866,0.6929,0.7064,0.7345,0.9481,1.5079,1.4428,1.773
130,1.077,1.6567,3.726,1.9153,1.4553,1.7955,1.3722,1.2524,1.3233,2.216,1.496,1.1325,1.3484,2.1969,2.065,1.1056,1.6448,0.7975,1.24,1.16,1.5272,1.7897,0.8985,1.2586,0.8759,1.1497,1.3157,1.5576,0.7786,0.6664,0.9533,1.1106,0.7096,0.9435,1.0228,0.964,1.6378,0.9545,1.3325,1.3178,0.7632,0.583,0.7201,0.4263,0.937,0.8258,0.9839,1.3408,0.2372,1.4651,0.8642,0.5133,0.4543,0.9337,0.4142,0.9444,1.1673,0.867,1.5904,1.7435,0.682,0.8992,1.253,0.9036,0.2866,1.2391,1.1741,1.2097,0.6373,0.7307,1.0497,1.4709,0.6856,0.6727,0.8474,1.0066,1.6487,1.3687,1.8702
132,1.0897,1.7273,3.671,1.8842,1.4969,2.0376,1.4506,1.3447,1.4105,2.1952,1.5066,1.1008,1.4726,2.0593,2.1186,1.0962,1.5963,0.8395,1.2847,1.1809,1.5467,1.9167,0.9125,1.2828,0.9022,1.1534,1.2828,1.6337,0.783,0.6978,0.9263,1.0712,0.6717,0.9968,0.9743,1.0076,1.63,1.0365,1.3239,1.3094,0.7568,0.5234,0.6935,0.4265,0.947,0.7466,1.0426,1.3442,0.224,1.428,0.8621,0.8911,0.438,0.9399,0.4242,0.9122,1.2233,0.8662,1.5729,1.748,0.6887,0.8993,1.3183,0.9075,0.2791,1.2509,1.1405,1.1885,0.6207,0.7412,1.0857,1.5053,0.7142,0.6697,0.8269,0.9852,1.5416,1.4343,1.7606
134,1.1018,1.7174,3.4629,1.953,1.5433,1.8107,1.5413,1.3265,1.4326,2.2281,1.5514,1.0508,1.6095,2.0739,2.0648,1.1664,1.5541,0.9073,1.3436,1.2376,1.4641,2.0201,0.9044,1.3501,0.8795,1.1901,1.2824,1.6644,0.7753,0.75,0.9466,1.0602,0.6533,1.0815,1.0554,1.0785,1.6404,1.0197,1.3246,1.3315,0.7287,0.4931,0.7285,0.4355,0.9081,0.6833,1.0622,1.4193,0.2212,1.5453,0.8319,0.9154,0.4557,0.9513,0.4157,0.9311,1.2613,0.9063,1.5682,1.7795,0.6649,0.8881,1.3518,0.9117,0.2769,1.284,1.1452,1.1635,0.5987,0.7548,1.0859,1.4792,0.6954,0.664,0.8072,1.0563,1.4389,1.4902,1.8855
136,1.114,1.6812,3.3554,1.9915,1.5799,2.0788,1.6168,1.4072,1.3581,2.3765,1.6045,1.1084,1.7088,2.1986,2.112,1.1581,1.5225,1.0712,1.3296,1.2159,1.3826,2.1376,0.888,1.3438,0.9054,1.1367,1.2845,1.8291,0.7746,0.7181,0.9793,1.0119,0.6213,0.9911,1.0018,1.0245,1.7039,1.0037,1.3477,1.3643,0.7744,0.4926,0.7795,0.4528,0.9076,0.6677,1.0679,1.3374,0.2246,1.5726,0.8406,0.7627,0.4364,0.9721,0.4985,0.9336,1.3211,0.8744,1.5534,1.7695,0.6734,0.8795,1.4133,0.9242,0.2682,1.2889,1.1394,1.2025,0.5785,0.7679,1.0947,1.4894,0.7216,0.6565,0.7324,1.0256,1.4756,1.5218,1.61
138,1.1229,1.6702,3.3013,2.0172,1.5375,1.9972,1.6715,1.4092,1.3919,2.3731,1.5932,1.1961,1.8268,2.2698,2.1988,1.1379,1.4386,1.3342,1.3687,1.2447,1.2757,2.0608,0.8651,1.424,0.9491,1.163,1.2901,1.8225,0.7749,0.7871,1.0514,1.0384,0.6572,0.9702,0.9571,1.0621,1.6674,1.0162,1.3258,1.3257,0.7739,0.4813,0.822,0.4857,0.8943,0.6242,1.132,1.3773,0.2301,1.5495,0.835,0.5429,0.4577,0.9237,0.5631,0.9355,1.3214,0.8406,1.5265,1.804,0.6586,0.9063,1.4178,0.9263,0.2751,1.2526,1.1372,1.247,0.5839,0.7753,1.1057,1.5067,0.742,0.6336,0.7292,1.1268,1.6747,1.5676,1.7069
140,1.1376,1.6759,3.4368,1.9287,1.6397,1.9311,1.6655,1.3671,1.372,2.2741,1.6342,1.2046,2.0592,2.5604,2.1717,1.12,1.4384,1.576,1.3702,1.2749,1.2845,2.1935,0.815,1.5365,1.0048,1.1605,1.2675,1.7859,0.7598,0.872,1.0906,1.1013,0.658,0.9555,0.9835,1.0148,1.6496,1.0326,1.3461,1.3437,0.7428,0.4493,0.8737,0.5204,0.8512,0.5929,1.1488,1.3792,0.2345,1.6375,0.8591,0.3753,0.4665,0.9068,0.6825,0.9574,1.3775,0.8315,1.5393,1.8244,0.6767,0.9055,1.4733,0.9031,0.271,1.2613,1.1491,1.2108,0.5813,0.7961,1.1342,1.5023,0.7259,0.6656,0.7214,0.9919,1.5856,1.92,1.5514
142,1.1513,1.8056,3.5195,1.8802,1.6631,2.106,1.7011,1.4,1.4011,2.4372,1.6418,1.28,1.9841,2.6152,2.3177,1.1483,1.4258,1.8816,1.3645,1.2773,1.1514,2.1345,0.8136,1.6335,1.049,1.136,1.3293,1.6437,0.794,1.0518,1.1954,1.1108,0.6773,0.9352,0.8988,1.0499,1.655,0.9958,1.3361,1.3019,0.7589,0.4915,0.9029,0.6149,0.8742,0.6369,1.2268,1.3194,0.2259,1.6385,0.8485,0.284,0.4906,0.896,0.8205,0.9349,1.3851,0.8254,1.5915,1.7353,0.6407,0.9064,1.5024,0.8863,0.2658,1.2614,1.1414,1.2077,0.5681,0.8097,1.1675,1.5239,0.7242,0.6484,0.7186,1.1156,1.746,1.8598,1.5858
